sample_id,image_path,full_path,meta_path,label,label_status
20260323_220529_700819_cost_card_01_450_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_220529_700819_cost_card_01_450_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220529_700819_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220529_700819_meta.txt,8,done
20260323_220535_202949_cost_card_01_453_827,bot\samples\1440x900\ocr_auto_turn_end\20260323_220535_202949_cost_card_01_453_827.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220535_202949_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220535_202949_meta.txt,8,done
20260323_220537_126191_cost_card_01_450_823,bot\samples\1440x900\ocr_auto_turn_end\20260323_220537_126191_cost_card_01_450_823.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220537_126191_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220537_126191_meta.txt,8,done
20260323_220616_034708_cost_card_01_443_827,bot\samples\1440x900\ocr_auto_turn_end\20260323_220616_034708_cost_card_01_443_827.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220616_034708_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220616_034708_meta.txt,8,done
20260323_220636_126567_cost_card_01_492_819,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_cost_card_01_492_819.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_meta.txt,2,done
20260323_220636_126567_cost_card_04_863_815,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_cost_card_04_863_815.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220636_126567_meta.txt,6,done
20260323_220653_655083_cost_card_01_474_830,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_cost_card_01_474_830.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_meta.txt,2,done
20260323_220653_655083_cost_card_02_522_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_cost_card_02_522_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_meta.txt,8,done
20260323_220653_655083_cost_card_07_870_819,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_cost_card_07_870_819.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220653_655083_meta.txt,4,done
20260323_220711_690183_cost_card_01_475_834,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_cost_card_01_475_834.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_meta.txt,2,done
20260323_220711_690183_cost_card_03_641_840,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_cost_card_03_641_840.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_meta.txt,,skip
20260323_220711_690183_cost_card_07_870_821,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_cost_card_07_870_821.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220711_690183_meta.txt,4,done
20260323_220713_635656_cost_card_01_427_849,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_cost_card_01_427_849.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_meta.txt,8,done
20260323_220713_635656_cost_card_02_474_834,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_cost_card_02_474_834.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_meta.txt,2,done
20260323_220713_635656_cost_card_03_522_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_cost_card_03_522_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_meta.txt,8,done
20260323_220713_635656_cost_card_08_870_819,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_cost_card_08_870_819.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_220713_635656_meta.txt,4,done
20260323_222405_845772_cost_card_02_525_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_222405_845772_cost_card_02_525_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222405_845772_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222405_845772_meta.txt,3,done
20260323_222712_443253_cost_card_01_447_833,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_cost_card_01_447_833.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_meta.txt,3,done
20260323_222712_443253_cost_card_06_851_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_cost_card_06_851_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222712_443253_meta.txt,5,done
20260323_222958_651462_cost_card_05_851_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_222958_651462_cost_card_05_851_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222958_651462_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_222958_651462_meta.txt,8,done
20260323_223121_639633_cost_card_02_523_813,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_cost_card_02_523_813.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_meta.txt,8,done
20260323_223121_639633_cost_card_05_851_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_cost_card_05_851_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223121_639633_meta.txt,8,done
20260323_223900_700539_cost_card_02_507_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_cost_card_02_507_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_meta.txt,2,done
